year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,plant_name_rus,plant_type,load_factor,capacity_factor,capacity_factor_running,peak_gross_demand_15_min_kw,peak_gross_demand_indicated_kw
2006,rusborrowerid,borrowername,year,period,plantname,,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2007,rusborrowerid,borrowername,year,period,plantname,,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2008,rusborrowerid,borrowername,year,period,plantname,,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2009,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2010,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2011,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2012,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2013,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2014,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2015,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2016,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2017,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2018,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2019,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2020,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
2021,rusborrowerid,borrowername,year,period,plantname,planttype,loadfactor,plantfactor,runningplantcapacityfactor,fifteenminutesgrossmaximumdemand,indicatedgrossmaximumdemand
