year_index,borrower_id_rus,borrower_name_rus,report_year,report_month,lending_organization,property_type,rental_cost_ytd
2006,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2007,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2008,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2009,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2010,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2011,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2012,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2013,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2014,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2015,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2016,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2017,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2018,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2019,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2020,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
2021,rusborrowerid,borrowername,year,period,nameoflessor,typeofproperty,rentalthisyear
